track_id,song_name,artist_name,artist_id,album_name,duration_ms,popularity,added_at,artist_genres,spotify_url,release_year,artist_followers,genres,album_total_tracks,artist_popularity,tempo,energy,key,mode,time_signature,speechiness,danceability,valence,acousticness,liveness,instrumentalness,loudness
1YgjYRt6PchrL1ujDAbc6P,Rage,"Paaus, Lukrative",52KV1Yn2CAbj1jCDFXh6Wy,Rage,196216,43,2022,,https://open.spotify.com/track/1YgjYRt6PchrL1ujDAbc6P,2018,3621.0,[],1.0,27.0,148.03,0.817,9.0,1.0,4.0,0.0766,0.864,0.191,0.0474,0.363,0.85,-0.849
3TtYw7YkiO2qDNvhgbG5jQ,Wake Me Up,"Tommee Profitt, Fleurie",73jlPRxT7z5xk29sMqFDjU,Covers (Vol. 1),312727,46,2022,,https://open.spotify.com/track/3TtYw7YkiO2qDNvhgbG5jQ,2020,255532.0,['anthem worship'],10.0,59.0,87.944,0.215,10.0,1.0,4.0,0.0386,0.308,0.16,0.94,0.107,5.46e-06,-11.028
1w4etUoKfql47wtTFq031f,玫瑰少年,Mayday,16s0YTFcyjP4kgFwt7ktrY,玫瑰少年,235333,52,2022,mandopop; taiwanese pop; c-pop; chinese rock; malay pop,https://open.spotify.com/track/1w4etUoKfql47wtTFq031f,2019,1863812.0,"['mandopop', 'taiwan pop']",1.0,58.0,95.98,0.705,6.0,0.0,4.0,0.0371,0.509,0.369,0.029,0.132,0.0,-7.448
3bwCMbwDZVtvJDnUTQIdCX,Beat It (feat. Chris Brown & Wiz Khalifa),"Sean Kingston, Chris Brown, Wiz Khalifa",6S0dmVVn4udvppDhZIWxCr,Back 2 Life,253453,75,2022,,https://open.spotify.com/track/3bwCMbwDZVtvJDnUTQIdCX,2013,3234830.0,"['dance pop', 'miami hip hop', 'pop']",11.0,68.0,198.12,0.637,1.0,1.0,4.0,0.109,0.477,0.555,0.00487,0.284,0.0,-5.386
5YfWlfg49W7u8wxKA1MBhD,To Love's End (Inuyasha),Eliott Tordo Erhu,0rmUBTBanC5DRv6ZpC1WHx,To Love's End (Inuyasha),149317,49,2022,,https://open.spotify.com/track/5YfWlfg49W7u8wxKA1MBhD,2021,25644.0,['erhu'],1.0,40.0,59.379,0.334,7.0,0.0,4.0,0.0384,0.213,0.0537,0.887,0.147,0.697,-12.787
72OVnXDzugvrCU25lMi9au,"如果可以 - 電影""月老""主題曲",WeiBird,7y3HnWCFEvWj4KM9GFSkiX,"如果可以 (電影""月老""主題曲)",274400,68,2022,mandopop; taiwanese pop; c-pop; chinese r&b; malay pop,https://open.spotify.com/track/72OVnXDzugvrCU25lMi9au,2021,401470.0,"['chinese r&b', 'mandopop', 'taiwan singer-songwriter']",1.0,54.0,74.969,0.54,3.0,1.0,4.0,0.029,0.54,0.372,0.241,0.351,0.0,-6.368
31JBtF1HCTZlFnmJDxZrD4,Beast Unleashed,Vin Jay,2DQkr7ZMTqNrlz5HcXZeI7,Beast Unleashed,120000,60,2022,,https://open.spotify.com/track/31JBtF1HCTZlFnmJDxZrD4,2018,112251.0,['nyc rap'],1.0,49.0,140.009,0.758,9.0,1.0,4.0,0.102,0.722,0.551,0.0532,0.452,0.0,-5.797
0hZAwaGhANCzy84BJHtILG,DIAMOND DALLAS.,Armani White,2qAwMsiIjTzlmfAkXKvhVA,DIAMOND DALLAS.,168117,53,2022,,https://open.spotify.com/track/0hZAwaGhANCzy84BJHtILG,2022,534212.0,['indie hip hop'],1.0,59.0,95.014,0.728,2.0,1.0,4.0,0.286,0.863,0.663,0.0633,0.574,0.0,-6.358
46MUbxLye12SKBN7xHg3CF,Control,"Unknown Brain, Jex, Rival",0okpgBQamDqOZazBeH0J3I,Control,166800,6,2022,,https://open.spotify.com/track/46MUbxLye12SKBN7xHg3CF,2018,331091.0,['gaming edm'],1.0,54.0,99.743,0.771,5.0,0.0,4.0,0.0644,0.544,0.301,0.00339,0.173,2.12e-05,-4.097
2RSHsoi04658QL5xgQVov3,Bad Liar,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Origins (Deluxe),260773,84,2022,,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2018,52143090.0,"['modern rock', 'pop', 'rock']",15.0,84.0,177.913,0.637,3.0,1.0,4.0,0.0703,0.383,0.0827,0.0722,0.368,0.0,-6.993
4228YpK0ZZuY4CZzBDVi3q,moon and back,JVKE,164Uj4eKjl6zTBKfJLFKKK,this is what ____ feels like (Vol. 1-4),148298,62,2022,,https://open.spotify.com/track/4228YpK0ZZuY4CZzBDVi3q,2022,4251585.0,"['modern indie pop', 'pov: indie', 'singer-songwriter pop']",12.0,73.0,180.132,0.494,2.0,1.0,4.0,0.0722,0.594,0.486,0.571,0.206,2.48e-05,-4.262
4mzP5mHkRvGxdhdGdAH7EJ,Give Me Your Forever,Zack Tabudlo,67IN4cLJ7798gUapyZlmac,Episode,244800,71,2022,opm; harana; p-pop; kundiman; pinoy r&b; pinoy indie; parang,https://open.spotify.com/track/4mzP5mHkRvGxdhdGdAH7EJ,2021,4072499.0,"['acoustic opm', 'opm', 'p-pop']",14.0,65.0,99.905,0.363,8.0,1.0,4.0,0.0291,0.627,0.301,0.279,0.0928,0.0,-8.127
6yOxL1xfPkv9Z9zvpNrMDU,I Think I Like You,The Band CAMINO,6d4jrmreCmsenscuieJERc,The Band CAMINO,182658,63,2022,,https://open.spotify.com/track/6yOxL1xfPkv9Z9zvpNrMDU,2021,388107.0,"['hopebeat', 'pov: indie']",14.0,55.0,120.02,0.567,11.0,0.0,4.0,0.0425,0.806,0.644,0.00438,0.0427,0.0,-5.656
2YWtcWi3a83pdEg3Gif4Pd,I Think He Knows,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,173386,70,2022,,https://open.spotify.com/track/2YWtcWi3a83pdEg3Gif4Pd,2019,108717184.0,['pop'],18.0,100.0,100.003,0.366,0.0,1.0,4.0,0.0569,0.897,0.416,0.00889,0.0715,0.000353,-8.029
48f7LOHWir3VQoO06yoc95,Song About You,The Band CAMINO,6d4jrmreCmsenscuieJERc,The Band CAMINO,158948,56,2022,,https://open.spotify.com/track/48f7LOHWir3VQoO06yoc95,2021,388107.0,"['hopebeat', 'pov: indie']",14.0,55.0,119.003,0.801,8.0,1.0,4.0,0.0336,0.617,0.426,0.0254,0.105,2.07e-06,-5.766
4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),"Taylor Swift, Bon Iver",06HL4z0CvFAxyc27GXpf02,folklore,285634,81,2022,,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y,2020,108717184.0,['pop'],16.0,100.0,75.602,0.38,6.0,1.0,4.0,0.0287,0.298,0.152,0.778,0.11,5.62e-05,-8.426
3RaT22zZsxVYxxKR7TAaYF,"no body, no crime (feat. HAIM)","Taylor Swift, HAIM",06HL4z0CvFAxyc27GXpf02,evermore,215626,63,2022,,https://open.spotify.com/track/3RaT22zZsxVYxxKR7TAaYF,2020,108717184.0,['pop'],15.0,100.0,79.015,0.613,7.0,0.0,4.0,0.0264,0.546,0.535,0.418,0.103,0.0,-7.589
5ZSl6gDoV6bPPxzmLeneV9,Rise,"Jonas Blue, Jack & Jack",1HBjj22wzbscIZ9sEb5dyf,Blue,194407,75,2022,tropical house,https://open.spotify.com/track/5ZSl6gDoV6bPPxzmLeneV9,2018,3724571.0,"['pop', 'pop dance', 'tropical house', 'uk dance']",15.0,70.0,106.046,0.785,1.0,1.0,4.0,0.0333,0.687,0.655,0.327,0.203,0.0,-4.65
7jEyX4bqaCSdMN4D4JNnVj,Mama,"Jonas Blue, William Singe",1HBjj22wzbscIZ9sEb5dyf,Blue,184133,76,2022,tropical house,https://open.spotify.com/track/7jEyX4bqaCSdMN4D4JNnVj,2018,3724571.0,"['pop', 'pop dance', 'tropical house', 'uk dance']",15.0,70.0,104.014,0.794,11.0,0.0,4.0,0.0416,0.738,0.566,0.101,0.0533,0.0,-4.118
0ErzcmZ2gIwX7X0xSMQPix,BOSS,"NCT, NCT U",48eO052eSDcn8aTxiv6QaG,NCT 2018 EMPATHY,210641,61,2022,k-pop; noise music,https://open.spotify.com/track/0ErzcmZ2gIwX7X0xSMQPix,2018,6255791.0,"['k-pop', 'k-pop boy group']",14.0,51.0,99.026,0.543,10.0,0.0,4.0,0.037,0.787,0.332,0.0233,0.0861,0.0,-6.7
