track_id,genres,artist_name,explicit,tempo,release_date,energy,key,popularity,duration_ms,mode,time_signature,album_name,speechiness,danceability,valence,acousticness,liveness,instrumentalness,loudness,song_name,audio_profile_score,matched_taste_cluster,genre_preference_score,personalized_score,spotify_url
1Hc3yNWYf43zhBOSAM38ub,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Kevin Gates,True,140.012,2019-09-27,0.675,1.0,53.0,,1.0,4.0,I'm Him,0.28,0.821,0.405,0.088,0.248,0.0,-4.566,Push It,0.9407402127981186,1,0.509383767364929,0.8544689237114806,https://open.spotify.com/track/1Hc3yNWYf43zhBOSAM38ub
2D1MK9oaxy7axXggy3iVbp,"['hip pop', 'pop', 'queens hip hop', 'rap']",Nicki Minaj,True,146.97,2018-08-10,0.635,9.0,51.0,,1.0,4.0,Queen,0.259,0.879,0.568,0.0517,0.0786,0.0,-5.098,Rich Sex (feat. Lil Wayne),0.9249833673238754,1,0.5688151481260303,0.8537497234843066,https://open.spotify.com/track/2D1MK9oaxy7axXggy3iVbp
4FRW5Nza1Ym91BGV4nFWXI,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Drake,True,94.966,2021-03-05,0.637,1.0,65.0,,1.0,4.0,Scary Hours 2,0.345,0.77,0.431,0.103,0.171,0.0,-5.53,Lemon Pepper Freestyle (feat. Rick Ross),0.951412558555603,1,0.46272470968681784,0.853674988781846,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
5zI6ueoYshDD99aCEs66QG,['pop'],blackbear,True,149.945,2014-04-20,0.456,2.0,42.0,,0.0,4.0,the afterglow,0.0865,0.574,0.182,0.395,0.161,0.0,-9.435,valley girls,0.9349893977244695,0,0.5272890992262464,0.8534493380248249,https://open.spotify.com/track/5zI6ueoYshDD99aCEs66QG
72otaqywVqwyXaCjk75JKm,"['boy band', 'dance pop', 'pop']",*NSYNC,False,167.994,2005-10-25,0.535,10.0,43.0,,1.0,4.0,Greatest Hits,0.0436,0.469,0.294,0.438,0.101,0.0,-8.264,(God Must Have Spent) A Little More Time On You - Remix,0.9259800066550573,0,0.5628452510562199,0.8533530555352898,https://open.spotify.com/track/72otaqywVqwyXaCjk75JKm
6MCfCfKzkRLqn1Zfhw6qwJ,"['dance pop', 'pop', 'urban contemporary']",Jennifer Lopez,False,105.874,1999,0.444,1.0,0.0,,1.0,4.0,On The 6,0.0239,0.625,0.14,0.618,0.132,0.000138,-8.41,Promise Me You'll Try,0.9258923679590225,0,0.5628452510562199,0.853282944578462,https://open.spotify.com/track/6MCfCfKzkRLqn1Zfhw6qwJ
6NyXDWD1bH0fwBrShjSydJ,['pop'],Dove Cameron,False,121.822,2019-08-02,0.475,0.0,56.0,,1.0,5.0,Descendants 3 (Original TV Movie Soundtrack),0.0339,0.396,0.351,0.593,0.0894,0.0,-5.952,My Once Upon a Time,0.9344122807184855,0,0.5272890992262464,0.8529876444200377,https://open.spotify.com/track/6NyXDWD1bH0fwBrShjSydJ
5oqukcHWfqq7HGjyKwLX1y,"['dance pop', 'pop']",Madonna,False,79.98,1994-10-25,0.366,8.0,60.0,,1.0,4.0,Bedtime Stories,0.0258,0.568,0.311,0.417,0.0664,3.39e-06,-8.854,Take a Bow,0.9254457056522369,0,0.5628452510562199,0.8529256147330335,https://open.spotify.com/track/5oqukcHWfqq7HGjyKwLX1y
6C0vyXq2uzFRTTLcE4whhl,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2 Chainz,True,97.02,2022-02-04,0.68,2.0,50.0,,1.0,4.0,Dope Don't Sell Itself,0.346,0.81,0.419,0.0059,0.112,0.0,-4.871,Million Dollars Worth of Game (feat. 42 Dugg),0.9277372509241104,1,0.5531966994800214,0.8528291406352927,https://open.spotify.com/track/6C0vyXq2uzFRTTLcE4whhl
5EUZq2pJJi1X2yRHzAeDWJ,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",Calvin Harris,False,140.036,2023-09-25,0.424,11.0,43.0,,0.0,3.0,Desire (with Sam Smith) [Acoustic],0.0448,0.506,0.38,0.696,0.163,8.64e-05,-10.565,Desire (with Sam Smith) - Acoustic,0.9216561019420624,0,0.5773927817191846,0.8528034378974869,https://open.spotify.com/track/5EUZq2pJJi1X2yRHzAeDWJ
5RPol8dzkr9kgmMxaXeEL8,"['dance pop', 'pop']",Jessie J,True,135.847,2018-05-24,0.656,7.0,40.0,,0.0,3.0,R.O.S.E. (Sex),0.361,0.586,0.497,0.172,0.0584,4.12e-05,-8.431,Queen,0.9250004390875498,1,0.5628452510562199,0.8525694014812839,https://open.spotify.com/track/5RPol8dzkr9kgmMxaXeEL8
6aKrbm21hq4Lvet7hQ5g3b,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",Unknown Artist,False,84.06,2013-04-16,0.496,1.0,1.0,,1.0,4.0,Free The Universe (Extended Version),0.0478,0.635,0.308,0.209,0.134,0.702,-5.59,Jessica,0.9204292098681132,3,0.5773927817191846,0.8518219242383276,https://open.spotify.com/track/6aKrbm21hq4Lvet7hQ5g3b
2KoHxhRyWxJzA0VafWd5Nk,"['pop', 'uk pop']",Sam Smith,False,143.783,2020-07-30,0.474,10.0,60.0,,0.0,4.0,My Oasis (feat. Burna Boy),0.0583,0.691,0.381,0.569,0.099,0.000626,-8.742,My Oasis (feat. Burna Boy),0.9323599735895792,0,0.5272890992262464,0.8513457987169127,https://open.spotify.com/track/2KoHxhRyWxJzA0VafWd5Nk
5mfFjwRX0Ezx3EPJ6mbm21,"['crunk', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Juicy J,True,142.024,2013-08-23,0.659,11.0,33.0,,1.0,4.0,Stay Trippy,0.319,0.818,0.441,0.0103,0.106,0.0,-5.57,Money A Do It,0.9363475143909454,1,0.509383767364929,0.8509547649857423,https://open.spotify.com/track/5mfFjwRX0Ezx3EPJ6mbm21
28E1PW3r3rQa750zdqXR9i,"['dance pop', 'pop']",Justin Timberlake,False,101.39,2006-09-12,0.363,4.0,0.0,,1.0,4.0,FutureSex/LoveSounds,0.0359,0.624,0.213,0.344,0.101,0.000179,-7.475,(Another Song) All Over Again,0.9227716624736786,0,0.5628452510562199,0.8507863801901869,https://open.spotify.com/track/28E1PW3r3rQa750zdqXR9i
1U8yhSTpk6XUuTCJNCnIku,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",USHER,False,138.387,2008-05-27,0.499,1.0,0.0,,1.0,4.0,Here I Stand,0.148,0.608,0.505,0.0364,0.199,0.0,-7.933,Love In This Club Part II featuring Beyoncé & Lil Wayne,0.9114485780398051,1,0.6072165406188562,0.8506021705556154,https://open.spotify.com/track/1U8yhSTpk6XUuTCJNCnIku
2okC0OWtgS86P2LC18IzHy,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Wiz Khalifa,True,139.917,2016-02-05,0.522,3.0,48.0,,1.0,4.0,Khalifa,0.226,0.855,0.355,0.196,0.1,0.0,-5.54,Bake Sale (feat. Travis Scott),0.9249376555283865,1,0.5531966994800214,0.8505894643187135,https://open.spotify.com/track/2okC0OWtgS86P2LC18IzHy
7uoFMmxln0GPXQ0AcCBXRq,"['australian dance', 'australian pop', 'pop']",Sia,False,104.957,2018-11-01,0.512,1.0,76.0,,1.0,3.0,Everyday Is Christmas (Deluxe Edition),0.0331,0.716,0.326,0.483,0.0928,0.0,-6.257,Snowman,0.9313866098721822,0,0.5272890992262464,0.8505671077429952,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
2HgGPga67UQXWW2JLuYE6E,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",Migos,True,139.023,2017-01-13,0.687,10.0,0.0,,0.0,4.0,T-Shirt,0.217,0.865,0.486,0.242,0.158,0.0,-3.744,T-Shirt,0.9336770474910736,1,0.5166660774876056,0.8502748534903801,https://open.spotify.com/track/2HgGPga67UQXWW2JLuYE6E
6IqromROlzPntuL90DRCa3,"['australian dance', 'australian pop', 'pop']",Unknown Artist,False,91.007,2005-01-01,0.439,3.0,14.0,,0.0,4.0,Colour The Small One,0.0386,0.651,0.27,0.303,0.237,0.74,-10.707,Natale's Song,0.931021069486936,3,0.5272890992262464,0.8502746754347981,https://open.spotify.com/track/6IqromROlzPntuL90DRCa3
0foRpYmPs9PHIAMyXa5bTc,"['hip hop', 'rap', 'southern hip hop', 'trap']",A$AP Mob,True,129.993,2016-10-31,0.735,0.0,44.0,,1.0,4.0,Cozy Tapes: Vol. 1 Friends -,0.302,0.845,0.45,0.135,0.147,0.0,-6.077,"Money Man (feat. A$AP Rocky, A$AP Nast & Yung Lord)",0.9463110913832983,1,0.4654388029217812,0.850136633690995,https://open.spotify.com/track/0foRpYmPs9PHIAMyXa5bTc
